"title","genre","director","year","duration","gross","budget","cast_facebook_likes","votes","reviews","rating","duration2"
"Honey","Drama","Bille Woodruff",2003,94,30222640,25000000,4868,36666,241,5.3,"[ 63,100)"
"The Core","Action","Jon Amiel",2003,135,31111260,60000000,1439,77029,615,5.4,"[120,280]"
"The Jungle Book 2","Adventure","Steve Trenbirth",2003,72,47887943,20000000,4480,11634,143,5.4,"[ 63,100)"
"Just Married","Comedy","Shawn Levy",2003,95,56127162,18000000,2020,57479,302,5.4,"[ 63,100)"
"Head of State","Comedy","Chris Rock",2003,95,37788228,35200000,4537,15046,124,5.4,"[ 63,100)"
"I Love Your Work","Drama","Adam Goldberg",2003,111,2580,1650000,2564,1618,62,5.4,"[100,120)"
"Bulletproof Monk","Action","Paul Hunter",2003,104,23020488,52000000,2422,42324,307,5.5,"[100,120)"
"Lara Croft Tomb Raider: The Cradle of Life","Action","Jan de Bont",2003,117,65653758,95000000,33154,102747,473,5.5,"[100,120)"
"Bringing Down the House","Comedy","Adam Shankman",2003,105,132541238,33000000,2505,30058,357,5.5,"[100,120)"
"Scary Movie 3","Comedy","David Zucker",2003,84,110000082,48000000,3629,111526,498,5.5,"[ 63,100)"
"Daddy Day Care","Comedy","Steve Carr",2003,92,104148781,60000000,4050,49486,197,5.5,"[ 63,100)"
"Dreamcatcher","Drama","Lawrence Kasdan",2003,136,33685268,68000000,12194,75573,837,5.5,"[120,280]"
"Timeline","Action","Richard Donner",2003,116,19480739,80000000,43887,53057,580,5.6,"[100,120)"
"Rugrats Go Wild","Adventure","John Eng",2003,80,39399750,25000000,3017,5674,80,5.6,"[ 63,100)"
"The Singing Detective","Comedy","Keith Gordon",2003,109,336456,8000000,41645,7116,145,5.6,"[100,120)"
"Dickie Roberts: Former Child Star","Comedy","Sam Weisman",2003,98,22734486,17000000,2713,11815,192,5.6,"[ 63,100)"
"A Guy Thing","Comedy","Chris Koch",2003,101,15408822,20000000,2698,14147,173,5.6,"[100,120)"
"Alex & Emma","Comedy","Rob Reiner",2003,96,14208384,30000000,977,11520,178,5.6,"[ 63,100)"
"Hulk","Action","Ang Lee",2003,138,132122995,137000000,1814,212106,1712,5.7,"[120,280]"
"Open Water","Adventure","Chris Kentis",2003,79,30500882,500000,67,42256,1151,5.7,"[ 63,100)"
"How to Deal","Comedy","Clare Kilner",2003,101,14108518,16000000,1882,8215,141,5.7,"[100,120)"
"Cradle 2 the Grave","Action","Andrzej Bartkowiak",2003,101,34604054,30000000,6867,34942,294,5.8,"[100,120)"
"Freddy vs. Jason","Action","Ronny Yu",2003,97,82163317,30000000,4692,89101,1158,5.8,"[ 63,100)"
"The League of Extraordinary Gentlemen","Action","Stephen Norrington",2003,110,66462600,78000000,4714,141533,988,5.8,"[100,120)"
"What a Girl Wants","Comedy","Dennie Gordon",2003,105,35990505,20000000,16400,48095,260,5.8,"[100,120)"
"Duplex","Comedy","Danny DeVito",2003,89,9652000,40000000,3096,46205,225,5.8,"[ 63,100)"
"Cheaper by the Dozen","Comedy","Shawn Levy",2003,94,138614544,40000000,7014,75152,392,5.8,"[ 63,100)"
"Stuck on You","Comedy","Bobby Farrelly",2003,118,33828318,55000000,14036,44453,277,5.8,"[100,120)"
"2 Fast 2 Furious","Action","John Singleton",2003,107,127083765,76000000,25296,191912,520,5.9,"[100,120)"
"The Hunted","Action","William Friedkin",2003,94,34238611,55000000,2248,35830,456,6,"[ 63,100)"
"S.W.A.T.","Action","Clark Johnson",2003,117,116643346,80000000,14486,119807,484,6,"[100,120)"
"A Man Apart","Action","F. Gary Gray",2003,109,26183197,36000000,16611,38348,245,6.1,"[100,120)"
"The Battle of Shaker Heights","Comedy","Efram Potelle",2003,79,279282,1000000,2489,3806,78,6.1,"[ 63,100)"
"Freaky Friday","Comedy","Mark Waters",2003,97,110222438,26000000,3984,96693,400,6.1,"[ 63,100)"
"Shanghai Knights","Action","David Dobkin",2003,114,60470220,50000000,428,81444,357,6.2,"[100,120)"
"The Hebrew Hammer","Comedy","Jonathan Kesselman",2003,87,19539,1000000,6227,4182,88,6.2,"[ 63,100)"
"Paycheck","Action","John Woo",2003,119,53789313,60000000,3637,89816,543,6.3,"[100,120)"
"American Wedding","Comedy","Jesse Dylan",2003,74,104354205,55000000,5713,162331,485,6.3,"[ 63,100)"
"Intolerable Cruelty","Comedy","Joel Coen",2003,100,35096190,60000000,1395,76560,483,6.3,"[100,120)"
"Gods and Generals","Drama","Ron Maxwell",2003,280,12870569,56000000,1671,13215,581,6.3,"[120,280]"
"Once Upon a Time in Mexico","Action","Robert Rodriguez",2003,102,55845943,29000000,46186,130094,649,6.4,"[100,120)"
"Terminator 3: Rise of the Machines","Action","Jonathan Mostow",2003,109,150350192,200000000,1769,305340,1956,6.4,"[100,120)"
"Anything Else","Comedy","Woody Allen",2003,108,3203044,18000000,14843,25165,283,6.4,"[100,120)"
"How to Lose a Guy in 10 Days","Comedy","Donald Petrie",2003,116,105807520,50000000,14087,156717,497,6.4,"[100,120)"
"Northfork","Drama","Michael Polish",2003,103,1420578,1900000,2389,4894,182,6.4,"[100,120)"
"Mona Lisa Smile","Drama","Mike Newell",2003,117,63695760,65000000,12850,61490,405,6.4,"[100,120)"
"Beyond Borders","Adventure","Martin Campbell",2003,127,4426297,35000000,12947,22570,210,6.5,"[120,280]"
"Tears of the Sun","Action","Antoine Fuqua",2003,142,43426961,70000000,16580,93494,483,6.6,"[120,280]"
"Bad Boys II","Action","Michael Bay",2003,147,138396624,130000000,12954,178126,605,6.6,"[120,280]"
"DysFunktional Family","Comedy","George Gallo",2003,89,2223990,3000000,539,761,37,6.6,"[ 63,100)"
"The Rundown","Action","Peter Berg",2003,104,47592825,85000000,16930,82731,406,6.7,"[100,120)"
"Sinbad: Legend of the Seven Seas","Adventure","Patrick Gilmore",2003,85,26288320,60000000,11301,36144,189,6.7,"[ 63,100)"
"Under the Tuscan Sun","Comedy","Audrey Wells",2003,113,43601508,18000000,1310,35718,428,6.7,"[100,120)"
"Something's Gotta Give","Comedy","Nancy Meyers",2003,128,124590960,80000000,22679,91092,547,6.7,"[120,280]"
"Bruce Almighty","Comedy","Tom Shadyac",2003,101,242589580,81000000,21276,296904,795,6.7,"[100,120)"
"Thirteen","Drama","Catherine Hardwicke",2003,100,4599680,1500000,2186,68222,671,6.8,"[100,120)"
"Elf","Comedy","Jon Favreau",2003,97,173381405,33000000,43354,147597,547,6.9,"[ 63,100)"
"All the Real Girls","Drama","David Gordon Green",2003,108,548712,2500000,12385,9233,214,6.9,"[100,120)"
"The Italian Job","Action","F. Gary Gray",2003,111,106126012,60000000,35084,285623,652,7,"[100,120)"
"Holes","Adventure","Andrew Davis",2003,117,67325559,20000000,1293,58222,437,7.1,"[100,120)"
"Pieces of April","Comedy","Peter Hedges",2003,80,2360184,300000,3010,18035,308,7.1,"[ 63,100)"
"Bad Santa","Comedy","Terry Zwigoff",2003,98,60057639,18000000,3151,107815,680,7.1,"[ 63,100)"
"School of Rock","Comedy","Richard Linklater",2003,108,81257845,35000000,4403,210680,683,7.1,"[100,120)"
"The Matrix Reloaded","Action","Lana Wachowski",2003,138,281492479,150000000,534,421818,3064,7.2,"[120,280]"
"Cold Mountain","Adventure","Anthony Minghella",2003,154,95632614,79000000,61110,118483,872,7.2,"[120,280]"
"Latter Days","Comedy","C. Jay Cox",2003,107,819939,850000,26017,14580,287,7.2,"[100,120)"
"Old School","Comedy","Todd Phillips",2003,88,74608545,24000000,10325,185258,527,7.2,"[ 63,100)"
"Shattered Glass","Drama","Billy Ray",2003,99,2207975,6000000,8297,28855,319,7.2,"[ 63,100)"
"Seabiscuit","Drama","Gary Ross",2003,140,120147445,87000000,13808,57661,630,7.3,"[120,280]"
"Master and Commander: The Far Side of the World","Action","Peter Weir",2003,138,93926386,150000000,1205,168207,928,7.4,"[120,280]"
"Open Range","Drama","Kevin Costner",2003,139,58328680,22000000,5458,54096,647,7.5,"[120,280]"
"Secondhand Lions","Comedy","Tim McCanlies",2003,111,41407470,30000000,9638,43378,374,7.6,"[100,120)"
"House of Sand and Fog","Drama","Vadim Perelman",2003,126,13005485,15000000,2282,56665,627,7.6,"[120,280]"
"The Last Samurai","Action","Edward Zwick",2003,154,111110575,140000000,11945,317166,1118,7.7,"[120,280]"
"The Station Agent","Comedy","Tom McCarthy",2003,89,5739376,500000,24419,58260,440,7.7,"[ 63,100)"
"21 Grams","Drama","Alejandro G. Inarritu",2003,124,16248701,20000000,7567,189683,751,7.7,"[120,280]"
"Lost in Translation","Drama","Sofia Coppola",2003,101,44566004,4000000,32015,321283,2113,7.8,"[100,120)"
"Big Fish","Adventure","Tim Burton",2003,125,66257002,70000000,16138,350698,1051,8,"[120,280]"
"Kill Bill: Vol. 1","Action","Quentin Tarantino",2003,111,70098138,30000000,3983,735784,2459,8.1,"[100,120)"
"Pirates of the Caribbean: The Curse of the Black Pearl","Action","Gore Verbinski",2003,143,305388685,140000000,48184,809474,2384,8.1,"[120,280]"
"Finding Nemo","Adventure","Andrew Stanton",2003,100,380838870,94000000,5641,692482,1167,8.2,"[100,120)"
"The Lord of the Rings: The Return of the King","Action","Peter Jackson",2003,192,377019252,94000000,6434,1215718,3517,8.9,"[120,280]"
"Catwoman","Action","Pitof",2004,87,40198710,100000000,3144,87451,872,3.3,"[ 63,100)"
"You Got Served","Drama","Chris Stokes",2004,95,40066497,8000000,1792,23671,305,3.5,"[ 63,100)"
"Torque","Action","Joseph Kahn",2004,84,21176322,40000000,5039,23747,293,4,"[ 63,100)"
"Johnson Family Vacation","Comedy","Christopher Erskin",2004,97,31179516,12000000,5006,5928,94,4.3,"[ 63,100)"
"Fat Albert","Comedy","Joel Zwick",2004,93,48114556,26000000,4604,9380,150,4.3,"[ 63,100)"
"Soul Plane","Comedy","Jessy Terrero",2004,92,13922211,16000000,3935,18271,225,4.4,"[ 63,100)"
"Agent Cody Banks 2: Destination London","Action","Kevin Allen",2004,100,23222861,26000000,3742,11092,99,4.5,"[100,120)"
"Anacondas: The Hunt for the Blood Orchid","Action","Dwight H. Little",2004,97,31526393,25000000,2730,22243,238,4.6,"[ 63,100)"
"New York Minute","Comedy","Dennie Gordon",2004,91,14018364,30000000,3974,17722,181,4.8,"[ 63,100)"
"Envy","Comedy","Barry Levinson",2004,99,12181484,40000000,1189,26390,252,4.8,"[ 63,100)"
"Godsend","Drama","Nick Hamm",2004,102,14334645,25000000,23352,22449,321,4.8,"[100,120)"
"Scooby-Doo 2: Monsters Unleashed","Adventure","Raja Gosnell",2004,93,84185387,80000000,7800,33180,243,4.9,"[ 63,100)"
"The Big Bounce","Comedy","George Armitage",2004,88,6471394,50000000,11972,15880,168,4.9,"[ 63,100)"
"Catch That Kid","Comedy","Bart Freundlich",2004,91,16702864,18000000,18711,8023,103,5.2,"[ 63,100)"
"Welcome to Mooseport","Comedy","Donald Petrie",2004,110,14469428,26000000,2466,10667,177,5.2,"[100,120)"
"Little Black Book","Comedy","Nick Hurran",2004,105,20422207,35000000,4369,15052,189,5.2,"[100,120)"
"Christmas with the Kranks","Comedy","Joe Roth",2004,99,73701902,60000000,6729,27548,314,5.2,"[ 63,100)"
"The Stepford Wives","Comedy","Frank Oz",2004,93,59475623,90000000,13748,49739,576,5.2,"[ 63,100)"
"D.E.B.S.","Action","Angela Robinson",2004,91,96793,3500000,6380,12188,185,5.3,"[ 63,100)"
"Sleepover","Comedy","Joe Nussbaum",2004,89,8070311,10000000,13626,12706,127,5.3,"[ 63,100)"
"White Chicks","Comedy","Keenen Ivory Wayans",2004,109,69148997,37000000,6313,98794,313,5.4,"[100,120)"
"Mr 3000","Comedy","Charles Stone III",2004,104,21800302,30000000,4462,12164,126,5.5,"[100,120)"
"The Whole Ten Yards","Comedy","Howard Deutch",2004,98,16323969,40000000,18085,45775,186,5.5,"[ 63,100)"
"November","Drama","Greg Harrison",2004,78,191309,150000,1008,2787,107,5.5,"[ 63,100)"
"AVP: Alien vs. Predator","Action","Paul W.S. Anderson",2004,109,80281096,60000000,3222,143628,1530,5.6,"[100,120)"
"Club Dread","Comedy","Jay Chandrasekhar",2004,119,4992159,8550000,3306,23823,267,5.6,"[100,120)"
"Win a Date with Tad Hamilton!","Comedy","Robert Luketic",2004,95,16964743,24000000,4681,22844,224,5.6,"[ 63,100)"
"Barbershop 2: Back in Business","Comedy","Kevin Rodney Sullivan",2004,106,64955956,18000000,3956,10104,119,5.7,"[100,120)"
"The Princess Diaries 2: Royal Engagement","Comedy","Garry Marshall",2004,113,95149435,40000000,15362,53687,229,5.7,"[100,120)"
"Paparazzi","Action","Paul Abascal",2004,84,15712072,20000000,2915,13210,215,5.8,"[ 63,100)"
"Around the World in 80 Days","Action","Frank Coraci",2004,120,24004159,110000000,3175,68720,379,5.8,"[120,280]"
"Blade: Trinity","Action","David S. Goyer",2004,122,52397389,65000000,19764,132954,699,5.9,"[120,280]"
"Without a Paddle","Adventure","Steven Brill",2004,95,58156435,19000000,1266,37479,246,5.9,"[ 63,100)"
"A Cinderella Story","Comedy","Mark Rosman",2004,95,51431160,20000000,3092,62861,301,5.9,"[ 63,100)"
"Along Came Polly","Comedy","John Hamburg",2004,90,87856565,42000000,24534,106909,376,5.9,"[ 63,100)"
"Shark Tale","Adventure","Bibo Bergeron",2004,90,160762022,75000000,63165,132415,431,6,"[ 63,100)"
"Raising Helen","Comedy","Garry Marshall",2004,119,37486138,50000000,2052,30890,199,6,"[100,120)"
"The Alamo","Drama","John Lee Hancock",2004,137,22406362,107000000,5780,16832,373,6,"[120,280]"
"Flight of the Phoenix","Action","John Moore",2004,113,21009180,45000000,4397,45815,336,6.1,"[100,120)"
"Sky Captain and the World of Tomorrow","Action","Kerry Conran",2004,106,37760080,70000000,12871,72868,815,6.1,"[100,120)"
"Chasing Liberty","Comedy","Andy Cadiff",2004,101,12189514,23000000,829,30092,194,6.1,"[100,120)"
"13 Going on 30","Comedy","Gary Winick",2004,98,56044241,37000000,6742,122187,458,6.1,"[ 63,100)"
"Shall We Dance","Comedy","Peter Chelsom",2004,106,57887882,50000000,2325,35508,329,6.1,"[100,120)"
"Starsky & Hutch","Comedy","Todd Phillips",2004,101,88200225,60000000,3943,120795,481,6.1,"[100,120)"
"Birth","Drama","Jonathan Glazer",2004,100,5005883,20000000,2295,29649,528,6.1,"[100,120)"
"Walking Tall","Action","Kevin Bray",2004,86,45860039,56000000,14146,53118,338,6.2,"[ 63,100)"
"The Ladykillers","Comedy","Ethan Coen",2004,104,39692139,35000000,41701,84131,593,6.2,"[100,120)"
"Jersey Girl","Comedy","Kevin Smith",2004,102,25266129,35000000,3592,54346,522,6.2,"[100,120)"
"Vanity Fair","Drama","Mira Nair",2004,141,16123851,23000000,1618,17373,266,6.2,"[120,280]"
"After the Sunset","Action","Brett Ratner",2004,97,28328132,58000000,9814,38298,264,6.3,"[ 63,100)"
"Connie and Carla","Comedy","Michael Lembeck",2004,108,8054280,20000000,2730,6838,193,6.3,"[100,120)"
"Ella Enchanted","Comedy","Tommy O'Haver",2004,96,22913677,35000000,17292,47800,333,6.3,"[ 63,100)"
"Meet the Fockers","Comedy","Jay Roach",2004,106,279167575,80000000,24938,211296,569,6.3,"[100,120)"
"The Day After Tomorrow","Action","Roland Emmerich",2004,124,186739919,125000000,20553,333248,1398,6.4,"[120,280]"
"Cellular","Action","David R. Ellis",2004,94,32003620,25000000,1102,79141,482,6.5,"[ 63,100)"
"The Punisher","Action","Jonathan Hensleigh",2004,140,33682273,33000000,2114,124242,814,6.5,"[120,280]"
"Ladder 49","Action","Jay Russell",2004,115,74540762,55000000,4496,48753,448,6.5,"[100,120)"
"In Good Company","Comedy","Paul Weitz",2004,109,45489752,26000000,28493,48973,371,6.5,"[100,120)"
"Spanglish","Comedy","James L. Brooks",2004,131,42044321,80000000,12522,65668,466,6.5,"[120,280]"
"The Village","Drama","M. Night Shyamalan",2004,108,114195633,60000000,7273,193770,2264,6.5,"[100,120)"
"The Polar Express","Adventure","Robert Zemeckis",2004,100,665426,165000000,16264,120798,632,6.6,"[100,120)"
"EuroTrip","Comedy","Jeff Schaffer",2004,93,17718223,25000000,14180,162067,408,6.6,"[ 63,100)"
"Fighting Tommy Riley","Drama","Eddie O'Flaherty",2004,109,5199,200000,185,720,36,6.6,"[100,120)"
"The Manchurian Candidate","Drama","Jonathan Demme",2004,129,65948711,80000000,20056,86422,572,6.6,"[120,280]"
"Hidalgo","Action","Joe Johnston",2004,136,67286731,100000000,36925,67856,485,6.7,"[120,280]"
"The Chronicles of Riddick","Action","David Twohy",2004,134,57637485,105000000,17159,183909,873,6.7,"[120,280]"
"Eulogy","Comedy","Michael Clancy",2004,85,70527,6500000,14656,7690,95,6.7,"[ 63,100)"
"Dodgeball: A True Underdog Story","Comedy","Rawson Marshall Thurber",2004,92,114324072,20000000,4730,185338,583,6.7,"[ 63,100)"
"I Heart Huckabees","Comedy","David O. Russell",2004,107,12784713,22000000,8094,56813,564,6.7,"[100,120)"
"Hellboy","Action","Guillermo del Toro",2004,132,59035104,66000000,1112,244566,839,6.8,"[120,280]"
"The Girl Next Door","Comedy","Luke Greenfield",2004,110,14589444,25000000,911,171151,639,6.8,"[100,120)"
"50 First Dates","Comedy","Peter Segal",2004,99,120776832,75000000,12952,266103,603,6.8,"[ 63,100)"
"A Home at the End of the World","Drama","Michael Mayer",2004,97,1029017,6500000,21107,12049,219,6.8,"[ 63,100)"
"National Treasure","Action","Jon Turteltaub",2004,131,173005002,100000000,13679,255447,885,6.9,"[120,280]"
"Napoleon Dynamite","Comedy","Jared Hess",2004,92,44540956,400000,3950,161448,1693,6.9,"[ 63,100)"
"Saved!","Comedy","Brian Dannelly",2004,92,8786715,5000000,5668,40274,445,6.9,"[ 63,100)"
"The SpongeBob SquarePants Movie","Adventure","Stephen Hillenburg",2004,87,85416609,30000000,20097,58906,275,7,"[ 63,100)"
"House of D","Comedy","David Duchovny",2004,96,371081,6000000,51441,7479,132,7,"[ 63,100)"
"Mean Girls","Comedy","Mark Waters",2004,97,86049418,17000000,5032,245989,713,7,"[ 63,100)"
"Primer","Drama","Shane Carruth",2004,77,424760,7000,368,72639,514,7,"[ 63,100)"
"Wicker Park","Drama","Paul McGuigan",2004,114,12831121,30000000,679,44979,396,7,"[100,120)"
"I, Robot","Action","Alex Proyas",2004,115,144795350,120000000,12068,387632,1014,7.1,"[100,120)"
"Harold & Kumar Go to White Castle","Adventure","Danny Leiner",2004,88,18225165,9000000,3114,155262,466,7.1,"[ 63,100)"
"The Merchant of Venice","Drama","Michael Radford",2004,131,3752725,18000000,16252,29715,278,7.1,"[120,280]"
"The Passion of the Christ","Drama","Mel Gibson",2004,120,499263,30000000,705,179235,3220,7.1,"[120,280]"
"Team America: World Police","Action","Trey Parker",2004,98,32774834,30000000,2609,136048,933,7.2,"[ 63,100)"
"Shrek 2","Adventure","Andrew Adamson",2004,93,436471036,150000000,1148,314630,688,7.2,"[ 63,100)"
"Troy","Adventure","Wolfgang Petersen",2004,196,133228348,175000000,17944,381672,1914,7.2,"[120,280]"
"Anchorman: The Legend of Ron Burgundy","Comedy","Adam McKay",2004,98,84136909,26000000,656730,267921,758,7.2,"[ 63,100)"
"Spider-Man 2","Action","Sam Raimi",2004,135,373377893,200000000,43388,411164,1603,7.3,"[120,280]"
"The Life Aquatic with Steve Zissou","Adventure","Wes Anderson",2004,119,24006726,50000000,15757,139535,891,7.3,"[100,120)"
"Super Size Me","Comedy","Morgan Spurlock",2004,100,11529368,65000,0,85028,597,7.3,"[100,120)"
"Imaginary Heroes","Comedy","Dan Harris",2004,111,228524,4000000,768,8708,129,7.3,"[100,120)"
"The Terminal","Comedy","Steven Spielberg",2004,128,77032279,60000000,16199,303864,747,7.3,"[120,280]"
"Closer","Drama","Mike Nichols",2004,98,33987757,27000000,28027,168314,1115,7.3,"[ 63,100)"
"Dawn of the Dead","Action","Zack Snyder",2004,110,58885635,26000000,10438,194422,1344,7.4,"[100,120)"
"Sideways","Adventure","Alexander Payne",2004,126,71502303,12000000,2170,149966,1120,7.5,"[120,280]"
"Garden State","Comedy","Zach Braff",2004,102,26781723,2500000,1655,187595,1183,7.6,"[100,120)"
"Man on Fire","Action","Tony Scott",2004,146,77862546,70000000,20454,266310,861,7.7,"[120,280]"
"The Bourne Supremacy","Action","Paul Greengrass",2004,108,176049130,75000000,14161,348232,1045,7.8,"[100,120)"
"The Notebook","Drama","Nick Cassavetes",2004,123,64286,29000000,34495,396396,1288,7.9,"[120,280]"
"Kill Bill: Vol. 2","Action","Quentin Tarantino",2004,137,66207920,30000000,1959,512749,1239,8,"[120,280]"
"The Incredibles","Action","Brad Bird",2004,115,261437578,92000000,1901,479166,1098,8,"[100,120)"
"Before Sunset","Drama","Richard Linklater",2004,80,5792822,2700000,65,168398,703,8,"[ 63,100)"
"Million Dollar Baby","Drama","Clint Eastwood",2004,132,100422786,30000000,28830,482064,1374,8.1,"[120,280]"
"Eternal Sunshine of the Spotless Mind","Drama","Michel Gondry",2004,108,34126138,20000000,19364,666937,1787,8.3,"[100,120)"
"Son of the Mask","Comedy","Lawrence Guterman",2005,94,17010646,84000000,1195,40751,317,2.2,"[ 63,100)"
"BloodRayne","Action","Uwe Boll",2005,92,1550000,25000000,2930,30628,614,2.9,"[ 63,100)"
"The Adventures of Sharkboy and Lavagirl 3-D","Action","Robert Rodriguez",2005,93,39177541,50000000,14899,20310,243,3.5,"[ 63,100)"
"Underclassman","Action","Marcos Siega",2005,95,5654777,25000000,2165,4875,57,4.1,"[ 63,100)"
"King's Ransom","Comedy","Jeffrey W. Byrd",2005,95,4006906,15000000,4990,3229,43,4.1,"[ 63,100)"
"Boogeyman","Drama","Stephen Kay",2005,89,46363118,20000000,1383,25960,529,4.1,"[ 63,100)"
"xXx: State of the Union","Action","Lee Tamahori",2005,101,26082914,87000000,993,51349,290,4.3,"[100,120)"
"The Salon","Comedy","Mark Brown",2005,90,92362,1500000,3138,444,19,4.3,"[ 63,100)"
"Are We There Yet?","Adventure","Brian Levant",2005,95,82301521,32000000,3558,22679,224,4.6,"[ 63,100)"
"Deuce Bigalow: European Gigolo","Comedy","Mike Bigelow",2005,83,22264487,22000000,1729,41239,264,4.6,"[ 63,100)"
"Herbie Fully Loaded","Adventure","Angela Robinson",2005,101,66002004,50000000,2177,36431,285,4.7,"[100,120)"
"Miss Congeniality 2: Armed and Fabulous","Action","John Pasquin",2005,115,48472213,45000000,4305,51252,267,5,"[100,120)"
"Stealth","Action","Rob Cohen",2005,121,31704416,135000000,2705,45455,533,5,"[120,280]"
"Cursed","Comedy","Wes Craven",2005,99,19294901,35000000,2535,26126,483,5,"[ 63,100)"
"The Dukes of Hazzard","Action","Jay Chandrasekhar",2005,107,80270227,50000000,2297,66382,756,5.1,"[100,120)"
"The Cave","Adventure","Bruce Hunt",2005,93,14888028,30000000,2178,28606,402,5.1,"[ 63,100)"
"Man of the House","Action","Stephen Herek",2005,100,19118247,40000000,6171,19829,153,5.4,"[100,120)"
"Cheaper by the Dozen 2","Adventure","Adam Shankman",2005,94,82569532,60000000,20348,42737,205,5.4,"[ 63,100)"
"Aeon Flux","Action","Karyn Kusama",2005,93,25857987,62000000,10185,110614,710,5.5,"[ 63,100)"
"The Wendell Baker Story","Comedy","Andrew Wilson",2005,99,127144,8000000,9608,5159,59,5.5,"[ 63,100)"
"The Perfect Man","Comedy","Mark Rosman",2005,100,16247775,25000000,4789,23527,169,5.5,"[100,120)"
"Diary of a Mad Black Woman","Comedy","Darren Grant",2005,116,50382128,5500000,2723,10472,264,5.6,"[100,120)"
"Kicking & Screaming","Comedy","Jesse Dylan",2005,95,52580895,45000000,27351,30255,212,5.6,"[ 63,100)"
"Dark Water","Drama","Walter Salles",2005,103,25472967,30000000,1467,44966,607,5.6,"[100,120)"
"Trust the Man","Comedy","Bart Freundlich",2005,103,1530535,9000000,1721,7833,163,5.7,"[100,120)"
"Be Cool","Comedy","F. Gary Gray",2005,118,55808744,53000000,15889,59435,484,5.7,"[100,120)"
"Into the Blue","Action","John Stockwell",2005,110,18472363,50000000,25049,63599,328,5.8,"[100,120)"
"Chicken Little","Adventure","Mark Dindal",2005,81,135381507,150000000,2252,63912,412,5.8,"[ 63,100)"
"The Legend of Zorro","Action","Martin Campbell",2005,129,45356386,75000000,2864,71574,381,5.9,"[120,280]"
"The Brothers Grimm","Action","Terry Gilliam",2005,118,37899638,88000000,27114,98472,725,5.9,"[100,120)"
"Must Love Dogs","Comedy","Gary David Goldberg",2005,98,43894863,30000000,4879,25883,382,5.9,"[ 63,100)"
"Guess Who","Comedy","Kevin Rodney Sullivan",2005,105,67962333,35000000,2689,33887,264,5.9,"[100,120)"
"Cry_Wolf","Drama","Jeff Wadlow",2005,90,10042266,1000000,3155,23021,357,5.9,"[ 63,100)"
"Slow Burn","Drama","Wayne Beach",2005,93,1181197,15500000,4329,3299,64,5.9,"[ 63,100)"
"Hide and Seek","Drama","John Polson",2005,101,51097664,30000000,23328,70205,630,5.9,"[100,120)"
"The Amityville Horror","Drama","Andrew Douglas",2005,90,64255243,19000000,120797,80903,738,6,"[ 63,100)"
"Zathura: A Space Adventure","Action","Jon Favreau",2005,101,28045540,65000000,32232,67707,338,6.1,"[100,120)"
"The Wedding Date","Comedy","Clare Kilner",2005,90,31585300,15000000,2666,38248,353,6.1,"[ 63,100)"
"Fun with Dick and Jane","Comedy","Dean Parisot",2005,90,110332737,100000000,1997,110788,393,6.1,"[ 63,100)"
"Sky High","Adventure","Mike Mitchell",2005,100,63939454,35000000,2968,61321,344,6.2,"[100,120)"
"Fever Pitch","Comedy","Bobby Farrelly",2005,104,42071069,30000000,1827,36223,332,6.2,"[100,120)"
"The Game of Their Lives","Drama","David Anspaugh",2005,101,375474,20000000,20354,2613,67,6.2,"[100,120)"
"Flightplan","Drama","Robert Schwentke",2005,98,89706988,55000000,2287,126746,831,6.2,"[ 63,100)"
"Assault on Precinct 13","Action","Jean-Francois Richet",2005,109,19976073,20000000,3148,65979,372,6.3,"[100,120)"
"Robots","Adventure","Chris Wedge",2005,91,128200012,75000000,1804,103022,432,6.3,"[ 63,100)"
"The Family Stone","Comedy","Thomas Bezucha",2005,103,6061759,17000000,1615,49077,617,6.3,"[100,120)"
"Edmond","Drama","Stuart Gordon",2005,82,131617,10000000,5761,9971,198,6.3,"[ 63,100)"
"Winter Passing","Comedy","Adam Rapp",2005,98,101228,3500000,20009,7228,103,6.4,"[ 63,100)"
"Because of Winn-Dixie","Comedy","Wayne Wang",2005,106,32645546,14000000,3462,8427,184,6.4,"[100,120)"
"The Producers","Comedy","Susan Stroman",2005,134,19377727,45000000,24351,35140,577,6.4,"[120,280]"
"Elizabethtown","Comedy","Cameron Crowe",2005,123,26838389,57000000,12700,58658,685,6.4,"[120,280]"
"The Longest Yard","Comedy","Peter Segal",2005,113,158115031,82000000,13693,130070,450,6.4,"[100,120)"
"The Quiet","Drama","Jamie Babbit",2005,91,381186,900000,3299,13485,155,6.4,"[ 63,100)"
"Hoodwinked!","Action","Cory Edwards",2005,80,51053787,17500000,14385,45900,389,6.5,"[ 63,100)"
"Mr. & Mrs. Smith","Action","Doug Liman",2005,126,186336103,120000000,22722,348861,1031,6.5,"[120,280]"
"War of the Worlds","Adventure","Steven Spielberg",2005,116,234277056,132000000,12758,334345,3142,6.5,"[100,120)"
"Boynton Beach Club","Comedy","Susan Seidelman",2005,105,3123749,1500000,1231,746,62,6.5,"[100,120)"
"Down in the Valley","Drama","David Jacobson",2005,108,568695,8000000,3921,16617,184,6.5,"[100,120)"
"Hostage","Action","Florent-Emilio Siri",2005,113,34636443,52000000,103354,93790,440,6.6,"[100,120)"
"Lonesome Jim","Comedy","Steve Buscemi",2005,91,154077,500000,1440,6884,134,6.6,"[ 63,100)"
